,location,kilometers_driven,fuel_type,transmission,owner_type,mileage,engine,power,seats,price,make,model,region,car_age,car_name,power_per_cc
0,Mumbai,72000,CNG,Manual,First,26.6,998.0,58.16,5.0,0.5596157879354227,Maruti,Wagon,West,9,Maruti Wagon,0.05827655310621242
1,Pune,41000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,2.5257286443082556,Hyundai,Creta,West,4,Hyundai Creta,0.0797724399494311
2,Chennai,46000,Petrol,Manual,First,18.2,1199.0,88.7,5.0,1.5040773967762742,Honda,Jazz,South,8,Honda Jazz,0.07397831526271893
3,Chennai,87000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,1.791759469228055,Maruti,Ertiga,South,7,Maruti Ertiga,0.07112179487179487
4,Coimbatore,40670,Diesel,Automatic,Second,15.2,1968.0,140.8,5.0,2.8758219768814333,Audi,A4,South,6,Audi A4,0.07154471544715447
5,Hyderabad,75000,LPG,Manual,First,21.1,814.0,55.2,5.0,0.8544153281560676,Hyundai,EON,South,7,Hyundai EON,0.06781326781326781
6,Jaipur,86999,Diesel,Manual,First,23.08,1461.0,63.1,5.0,1.252762968495368,Nissan,Micra,North,6,Nissan Micra,0.0431895961670089
7,Mumbai,36000,Diesel,Automatic,First,11.36,2755.0,171.5,8.0,2.8622008809294686,Toyota,Innova,West,3,Toyota Innova,0.062250453720508164
8,Pune,64430,Diesel,Manual,First,20.54,1598.0,103.6,5.0,1.6486586255873816,Volkswagen,Vento,West,6,Volkswagen Vento,0.06483103879849812
9,Chennai,65932,Diesel,Manual,Second,22.3,1248.0,74.0,5.0,0.6678293725756554,Tata,Indica,South,7,Tata Indica,0.05929487179487179
10,Kochi,25692,Petrol,Manual,First,21.56,1462.0,103.25,5.0,2.2975725511705014,Maruti,Ciaz,South,1,Maruti Ciaz,0.07062243502051983
11,Kolkata,60000,Petrol,Automatic,First,16.8,1497.0,116.3,5.0,1.501852701754163,Honda,City,East,7,Honda City,0.07768871075484302
12,Jaipur,64424,Diesel,Manual,First,25.2,1248.0,74.0,5.0,1.7227665977411035,Maruti,Swift,North,4,Maruti Swift,0.05929487179487179
13,Delhi,72000,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,3.295836866004329,Others,Rover,North,5,Others Rover,0.08614043139054611
14,Pune,85000,Diesel,Automatic,Second,12.893137254901962,2179.0,115.0,5.0,2.8622008809294686,Others,Rover,West,7,Others Rover,0.05277650298301973
15,Delhi,110000,Diesel,Manual,First,13.5,2477.0,175.56,7.0,2.70805020110221,Others,Pajero,North,5,Others Pajero,0.07087605974969721
16,Kochi,58950,Diesel,Manual,First,25.8,1498.0,98.6,5.0,1.6863989535702288,Honda,Amaze,South,3,Honda Amaze,0.06582109479305741
17,Jaipur,25000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,1.7900914121273581,Maruti,Swift,North,2,Maruti Swift,0.05929487179487179
18,Kochi,77469,Diesel,Manual,First,20.45,1461.0,83.8,5.0,1.8468787684491346,Renault,Duster,South,5,Renault Duster,0.05735797399041752
19,Bangalore,78500,Diesel,Automatic,First,14.84,2143.0,167.62,5.0,3.332204510175204,Mercedes-Benz,New,South,5,Mercedes-Benz New,0.07821745216985534
20,Kochi,32982,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,2.920469789053444,BMW,3,South,5,BMW 3,0.09523809523809523
21,Bangalore,55392,Diesel,Manual,Second,23.65,1248.0,88.5,5.0,2.1102132003465894,Maruti,S,South,4,Maruti S,0.07091346153846154
22,Mumbai,55985,Petrol,Automatic,First,13.53,1984.0,177.01,5.0,3.1570004211501135,Audi,A6,West,4,Audi A6,0.08921875
23,Kolkata,45807,Petrol,Manual,First,18.5,1197.0,80.0,5.0,0.6259384308664954,Hyundai,i20,East,9,Hyundai i20,0.06683375104427736
24,Kolkata,33000,Petrol,Automatic,First,14.4,1598.0,103.6,5.0,1.0473189942805592,Volkswagen,Vento,East,9,Volkswagen Vento,0.06483103879849812
25,Mumbai,51920,Petrol,Manual,First,16.8,1497.0,116.3,5.0,1.4469189829363254,Honda,City,West,7,Honda City,0.07768871075484302
26,Hyderabad,54000,Diesel,Manual,First,23.08,1461.0,63.1,5.0,1.4469189829363254,Nissan,Micra,South,7,Nissan Micra,0.0431895961670089
27,Hyderabad,54000,Petrol,Manual,Second,20.92,998.0,67.1,5.0,1.0116009116784799,Maruti,Alto,South,6,Maruti Alto,0.06723446893787574
28,Kochi,37430,Petrol,Manual,First,17.5,1199.0,88.7,5.0,2.2925347571405443,Honda,WRV,South,1,Honda WRV,0.07397831526271893
29,Mumbai,262000,Diesel,Manual,Fourth & Above,12.8,2494.0,102.0,7.0,1.3862943611198906,Toyota,Innova,West,12,Toyota Innova,0.0408981555733761
30,Bangalore,62000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,2.0476928433652555,Renault,Duster,South,6,Renault Duster,0.0742299794661191
31,Delhi,87615,Petrol,Manual,First,14.53,1798.0,138.1,5.0,1.9095425048844386,Toyota,Corolla,North,7,Toyota Corolla,0.0768075639599555
32,Bangalore,72000,Diesel,Automatic,Second,11.18,2696.0,184.0,7.0,2.5257286443082556,Mahindra,Ssangyong,South,6,Mahindra Ssangyong,0.06824925816023739
33,Kolkata,35000,Diesel,Automatic,First,12.4,2698.0,179.5,5.0,2.4423470353692043,Audi,A6,East,9,Audi A6,0.06653076352853966
34,Coimbatore,55431,Petrol,Manual,Second,16.09,1598.0,103.5,5.0,1.9430489167742813,Volkswagen,Vento,South,5,Volkswagen Vento,0.06476846057571965
35,Jaipur,83816,Petrol,Manual,Second,14.0,1061.0,64.0,5.0,0.6151856390902335,Maruti,Wagon,North,10,Maruti Wagon,0.060320452403393024
36,Kochi,50075,Diesel,Manual,First,24.3,1248.0,88.5,5.0,2.155244505095337,Maruti,Vitara,South,1,Maruti Vitara,0.07091346153846154
37,Delhi,52000,Petrol,Manual,First,18.15,1198.0,82.0,5.0,1.5789787049493917,Mahindra,KUV,North,2,Mahindra KUV,0.06844741235392321
38,Pune,85000,Diesel,Automatic,First,11.74,2987.0,254.8,5.0,3.332204510175204,Mercedes-Benz,M-Class,West,6,Mercedes-Benz M-Class,0.08530297957817208
39,Chennai,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,1.6094379124341003,Volkswagen,Polo,South,6,Volkswagen Polo,0.06163469557964971
40,Delhi,90000,Petrol,Manual,Second,19.7,796.0,46.3,5.0,0.22314355131420976,Maruti,Alto,North,11,Maruti Alto,0.05816582914572864
41,Kochi,19698,Petrol,Manual,First,25.4,624.0,37.5,4.0,0.4252677354043441,Tata,Nano,South,5,Tata Nano,0.06009615384615385
42,Coimbatore,22033,Diesel,Manual,First,25.32,1198.0,77.0,6.0,1.7191887763932197,Mahindra,KUV,South,2,Mahindra KUV,0.0642737896494157
43,Kochi,35487,Petrol,Manual,First,18.5,1197.0,82.9,5.0,1.556037135706985,Hyundai,i20,South,5,Hyundai i20,0.06925647451963242
44,Bangalore,46374,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,2.180417459019838,Hyundai,Elantra,South,5,Hyundai Elantra,0.07499749874937468
45,Mumbai,52001,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,2.3135250330323798,Toyota,Corolla,West,3,Toyota Corolla,0.0767686318131257
46,Ahmedabad,58005,Diesel,Manual,Second,14.9,1991.0,112.2,5.0,1.4469189829363254,Hyundai,Elantra,West,11,Hyundai Elantra,0.056353591160221
47,Bangalore,70704,Petrol,Manual,First,11.25,2694.0,163.7,7.0,2.3933394562625097,Toyota,Innova,South,7,Toyota Innova,0.06076466221232368
48,Jaipur,75000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,1.3480731482996928,Hyundai,Xcent,North,5,Hyundai Xcent,0.06339285714285714
49,Jaipur,75800,Diesel,Manual,Second,16.55,2498.0,105.0,6.0,1.7047480922384253,Mahindra,Thar,North,7,Mahindra Thar,0.042033626901521216
50,Kochi,13648,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,3.064791809485486,Audi,A4,South,4,Audi A4,0.08858231707317074
51,Delhi,52000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,1.4469189829363254,Maruti,Swift,North,5,Maruti Swift,0.05929487179487179
52,Kolkata,53000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,1.1939224684724346,Maruti,Swift,East,5,Maruti Swift,0.06009615384615385
53,Delhi,65650,Diesel,Manual,First,28.4,1248.0,74.0,5.0,1.3480731482996928,Maruti,Swift,North,6,Maruti Swift,0.05929487179487179
